,spring_blue,spring_green,spring_red,spring_nir,spring_swir16,spring_swir22,spring_ndvi,spring_ndbi,spring_ndwi,summer_blue,summer_green,summer_red,summer_nir,summer_swir16,summer_swir22,summer_ndvi,summer_ndbi,summer_ndwi,autumn_blue,autumn_green,autumn_red,autumn_nir,autumn_swir16,autumn_swir22,autumn_ndvi,autumn_ndbi,autumn_ndwi
spring_blue,1.0,0.973497937908827,0.9489879202226511,0.229107397453377,0.569205429348027,0.6902874560042226,-0.6980223943109752,0.24139706371873884,0.6454771259509083,0.8813096370778354,0.8781189263327791,0.82184840193648,-0.031811250611346924,0.5600364587124288,0.6558660925805561,-0.6371928114487938,0.4553482453618262,0.6314464088473529,0.8275636707342825,0.8221811696419403,0.7666290389375909,0.04238731632390268,0.4826155416113067,0.5745376452656493,-0.5872983006050012,0.3788768924112258,0.5977512665805927
spring_green,0.973497937908827,1.0,0.9626132913683806,0.35557558410583423,0.6529407642148775,0.7305252769844792,-0.6423672064106911,0.18042144142452213,0.5890066042601776,0.8405479600612865,0.8671638801998094,0.8031955296683229,0.08256336471344412,0.6155559017693539,0.6555073749683433,-0.5788003878010456,0.4021901012448373,0.5661081192432184,0.8005539634333622,0.8265082007318139,0.7592831680190862,0.15303025788271887,0.5463917301355358,0.5933503117359524,-0.5391386679764821,0.3382383722966732,0.5463949653042612
spring_red,0.9489879202226511,0.9626132913683806,1.0,0.2803253831192228,0.7041192720217082,0.8085445516453842,-0.7280782042332179,0.28650050540284794,0.6039462073748865,0.786597719925238,0.8125725871638434,0.7809036431970825,0.06480830183620213,0.6126049379496189,0.6608873962873347,-0.580854103351338,0.42217035613455167,0.5420028638278002,0.750607467091797,0.7773734443588739,0.7424008574549162,0.13434324912061504,0.5518257895700789,0.6044981496400221,-0.5439413744178688,0.3644093350542216,0.5236033484527767
spring_nir,0.229107397453377,0.35557558410583423,0.2803253831192228,1.0,0.5328731472960948,0.27947228546083663,0.31615876245336905,-0.5858012521571505,-0.39316417741506227,0.1880175618085361,0.32842970435102026,0.2615930149066626,0.5674741892487067,0.5416138708670916,0.2790894645675539,0.05889684906638417,-0.09761984100427076,-0.11301712739345379,0.22780143451282928,0.3709686519605998,0.2774675572708975,0.599775832355445,0.5643222261462328,0.3542727090879958,0.042788134372236185,-0.05410572763048532,-0.0670366567357252
spring_swir16,0.569205429348027,0.6529407642148775,0.7041192720217082,0.5328731472960948,1.0,0.9077947296581538,-0.38626536978010834,0.30188735930292315,0.20444767290721266,0.38414879631936694,0.4889850226354254,0.4418096596182126,0.4248266326486312,0.7730826121539945,0.5989447908517676,-0.20794253662648116,0.2722353265673409,0.13581662035963066,0.38333405554285266,0.4922492992212683,0.42541843520684525,0.4690432214504386,0.7195337863961423,0.5880436140551952,-0.1874510263029533,0.26426735228579895,0.14483019863866017
spring_swir22,0.6902874560042226,0.7305252769844792,0.8085445516453842,0.27947228546083663,0.9077947296581538,1.0,-0.6408032665765465,0.48355120877661734,0.4636522246154562,0.5125583648332624,0.5710193210607922,0.5689651691236487,0.16798738949151037,0.7286141605360525,0.7174088297441374,-0.43342762497018483,0.4588546061999387,0.3550077949614271,0.5007911611561767,0.5645877753045536,0.5454796725038908,0.2265399979547414,0.677529154454916,0.6846584316136446,-0.4050222717910932,0.43231525734525733,0.3548489807483458
spring_ndvi,-0.6980223943109752,-0.6423672064106911,-0.7280782042332179,0.31615876245336905,-0.38626536978010834,-0.6408032665765465,1.0,-0.7410848969059103,-0.936480042799281,-0.589248079193886,-0.5480697531585579,-0.5675533416154503,0.335396710617885,-0.31829245454480687,-0.5268325367156775,0.7155029234143613,-0.6231109515522032,-0.7267598431915868,-0.5256550373082741,-0.48686712448537645,-0.5139184317203869,0.2720832178261557,-0.24387911778641588,-0.4234042755485012,0.675386407092329,-0.5348531810805468,-0.687328993085533
spring_ndbi,0.24139706371873884,0.18042144142452213,0.28650050540284794,-0.5858012521571505,0.30188735930292315,0.48355120877661734,-0.7410848969059103,1.0,0.6975539741518202,0.159493898862963,0.10760827661993597,0.13717784339641595,-0.27612030689163447,0.15769650383095687,0.28191000208926875,-0.34374577259897965,0.4824057485589667,0.3560608418609877,0.11085571230125549,0.06053069490371178,0.09951850167769197,-0.27214250515292165,0.07625354172479623,0.18520911541782195,-0.3149126657643679,0.4289062783634148,0.3207467195144685
spring_ndwi,0.6454771259509083,0.5890066042601776,0.6039462073748865,-0.39316417741506227,0.20444767290721266,0.4636522246154562,-0.936480042799281,0.6975539741518202,1.0,0.5767813648152984,0.517475042882296,0.5121646985472946,-0.4219373784336622,0.1867931392535931,0.42662515543179924,-0.7169674775930711,0.5996621741204239,0.7896483978152453,0.5081223092265689,0.4515143222048634,0.45845383180078114,-0.3574932548259548,0.11285408133378623,0.31631899020915644,-0.6780411132713253,0.49862658829745715,0.7462175076618602
summer_blue,0.8813096370778354,0.8405479600612865,0.786597719925238,0.1880175618085361,0.38414879631936694,0.5125583648332624,-0.589248079193886,0.159493898862963,0.5767813648152984,1.0,0.9732044829465208,0.9462662383286153,-0.1538013170689661,0.5997963601797874,0.7395373539046114,-0.752791221601204,0.5584786136187099,0.7337161171703279,0.9031073241527615,0.8730050402656767,0.844556256176642,-0.09986060265974567,0.4962206624001616,0.6336303130354216,-0.6907112904103677,0.4872819112844845,0.6933510010134636
